Date,Current Temperature,HI,LO,Comments
01-May,65.7,69.3,65.4,All good
02-May,66.4,74.3,65.7,All good
03-May,67.7,69.4,65.6,All good
04-May,67,69.3,65.3,All good
05-May,68.6,69.3,65.3,All good
06-May,67.7,77.8,65.7,All good
07-May,69.1,69.3,65.7,All good
08-May,65,80.3,65,All good             emptied
09-May,,,,
10-May,,,,
11-May,,,,
12-May,80.4,80.5,64.5,"All good        wean  noon                            pm drop all
                                 drop CJR                                  CJR"
13-May,69.2,81.9,69,"All good        drop all               lunch All     P.m. All
                                 am KT                                BS               CH"
14-May,69.8,73.1,68.4,"All good        RK 4 standing-5          lunch 26/39 Drop    Pm All BS
                             by recr Drop Am BS                  CJR"
15-May,69.2,78.7,69.2,"All good        AM drop          lunch 27/39 Drop    Pm All CH
                             all KT                        CJR"
16-May,70.1,85.2,69.1,"All good        27/39 Drop All         30/39 Drop Lunch   Pm All
                             CJR                                      BS/CJR                               CJR"
17-May,69.3,81.1,69.1,"All good        am drop                  noon           Reset___________
                             -11 KT                    drop all KT"
18-May,68.6,70.3,66.5,"All good        Am BS
                              dropped all"
19-May,66.3,70.7,63.9,All good
20-May,65.7,70.1,64.5,All good
21-May,65.6,69.3,62.6,All good
22-May,65.7,67,61.7,All good
23-May,66.6,69.8,64.7,All good
24-May,67.5,69.7,64,All good
25-May,67.4,75.7,64.6,All good
26-May,67.5,77.5,64.7,All good
27-May,68.6,80.6,64.2,All good
28-May,66.3,74.3,64.1,All good
29-May,68.6,72.4,64.3,All good
30-May,67.6,74,64.6,All good
31-May,65.8,79.6,63.8,All good
01-Jun,64,70.3,63.7,All good
,,,,"Comments: Who is off feed, any lameness observed, locations of these issues"
