Date,HI,LO,Current Temperature AM,Current Temperature Noon,Current Temperature PM,Inventory,Inventory 2,Comments
01-May,71.3,66.4,68.9,68.6,71.2,,,
02-May,74.2,68.2,69.7,69.8,70.5,,,
03-May,71.6,67.6,68.5,68,69.8,,,
04-May,70,66.5,68.7,67.1,69.4,,,
05-May,69.5,66.7,69,69.5,72.6,,,
06-May,74.4,69.7,69.2,69.3,70.1,,,
07-May,71.1,68.8,69.2,71.8,77.1,,,
08-May,77.9,68.6,69.2,69.1,70.8,,,
09-May,71,66.3,67.3,68.3,71.5,,,
10-May,72.2,65.5,69.5,69.3,77.8,,,
11-May,78.8,67.9,69,69.2,75.2,,,
12-May,75.8,68.6,69.2,,72.9,,,
13-May,,,,,,,,
14-May,,,,,,,,
15-May,,,,,,,,
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,,,,,,,,
22-May,75.8,78.6,69.2,,72.9,,,
23-May,78.7,61.2,73.3,73.4,73.4,,,
24-May,73.9,72.2,72.9,73.9,75.7,,,
25-May,76,72.3,73.3,74.3,77.9,,,
26-May,78,72.4,73.1,74.9,79.2,,,
27-May,80.7,72.4,73.9,75.4,76.5,,,
28-May,76.9,73.8,74.7,,75.3,,,
29-May,75.9,74.4,74.7,75.2,75.5,,,
30-May,76.2,72.5,73.6,77.7,77.9,,,
31-May,78,71.8,73.1,79.4,73.7,,,
01-Jun,74.7,70.4,71.7,,,,,
