Date,Current Temperature,HI,LO,+/-,Inventory,Alley Scraped,Scraper Ran Y/N,Comments
01-May,66.6,70.2,64.1,KT,"117
                 116",Y,Y,All good - Pen 14 feeder clogged
02-May,65.7,77.9,64.2,"-5
                     -3","112
                  113",Y,Y,All good
03-May,65.1,73.3,64.1,,,Y,Y,All good
04-May,64.7,67.5,64,,,Y,Y,"All good                 Right Side Bin Empty       added 4
                                                                                    buckets of feed pm"
05-May,65.2,68,64,,,Y,Y,All good                  left side bin empty
06-May,65.8,80.1,64.74,-1,"111
                 113",Y,Y,All good
07-May,65.7,69.4,64,,,Y,Y,All good                  Left Bin Empty
08-May,61.7,74.1,60.8,,,Y,Y,All good
09-May,60.4,65.1,59.4,,"12
                 31",Y,Y,All good
10-May,62,66.8,59.6,,,Y,Y,All good                   Right Bin Empty
11-May,61.8,76.9,59.8,,,N,Y,All good
12-May,60.7,73.4,59.6,,,Y,Y,All good
13-May,66.5,76.8,60.5,,,Y,Y,All good
14-May,65.4,70.1,64.9,,,Y,Y,All good
15-May,66.1,75,64.2,,0,N,Y,All good                   empty
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,,,,,,,,
22-May,,,,,,,,
23-May,,,,,,,,
24-May,,,,,,,,
25-May,,,,,,,,
26-May,,,,,,,,
27-May,,,,,,,,
28-May,,,,,,,,
29-May,,,,,,,,
30-May,,,,,,,,
31-May,,,,,,,,
01-Jun,,,,,,,,
