Date,Current Temperature,Comments
01-May,66.8,All good
02-May,65.8,All good
03-May,66.5,All good
04-May,65.5,All good
05-May,65.8,All good
06-May,65.6,All good
07-May,65.6,All good
08-May,67.2,All good
09-May,67.6,All good
10-May,66.5,All good
11-May,67.7,All good
12-May,67.9,All good
13-May,68.5,All good
14-May,68,All good
15-May,69.1,All good
16-May,68,All good
17-May,69.6,All good
18-May,69.6,All good
19-May,68.2,All good
20-May,65.9,All good
21-May,68.8,All good
22-May,65.9,All good
23-May,66.8,All good
24-May,66.5,All good
25-May,65.7,All good
26-May,65.7,All good
27-May,66.4,All good
28-May,67.8,All good
29-May,67.6,All good
30-May,66,All good
31-May,66,All good
01-Jun,65.9,All good
,,"Comments: Who is off feed, any lameness observed, locations of these issues"
