Date,Current Temperature,HI,LO,Comments
01-May,67.4,75,66.4,All good                         Matrix KT
02-May,67.5,75.4,66.8,All good                         Matrix KT
03-May,68.2,74.1,66.2,All good                         Matrix AI
04-May,68.4,73.1,66,All good                         Matrix CJR
05-May,69.8,71.4,69.4,"All good                         Matrix CJR   pen 5, 6 out of feed in pm"
06-May,67.1,81.4,66.7,All good                         Matrix AI
07-May,67,70.3,66.3,All good                         Matrix KT
08-May,69.6,84.2,65.9,All good                         Matrix KT
09-May,65.5,73.3,69.3,All good                         Matrix EY
10-May,68.7,76.5,65.5,All good                         Matrix EY
11-May,67.4,84.3,65.7,All good                         Matrix EY
12-May,69,80.6,65.5,All good                         -------------
13-May,72.1,89.2,69,"All good                         AM drop          -------------
                                            all KT"
14-May,72.4,75.8,69.1,"All good                         AM drop          lunch CJR        PM BS
                                            all CH"
15-May,72.4,82.6,70.4,"All good                         AM drop                                          PM CH
                                            all KT"
16-May,82,91.5,69.9,"All good                         noon drop                                      Temps taken
                                                                                                           @ shutdown"
17-May,72,86.1,71.9,All good                         -------------
18-May,69.3,72.5,68.8,All good
19-May,68.9,77.1,67.9,All good
20-May,69.4,72.3,67.3,All good
21-May,70.7,72.2,67.4,All good
22-May,69.2,72.3,67.6,All good
23-May,69.2,72.2,67.6,All good                         Bin 3 empty
24-May,70.6,72.5,67.5,All good
25-May,68.8,72.8,67.8,All good
26-May,69.8,75.9,67.8,All good
27-May,68.2,79.1,68,All good
28-May,70.5,80.1,68.1,All good
29-May,70.1,74.6,67.9,All good
30-May,68.1,73.6,67.9,All good
31-May,67.9,79.8,67.4,All good
01-Jun,70.4,74.2,67,All good
,,,,"Comments: Who is off feed, any lameness observed, locations of these issues"
