Date,Current Temperature,+/-,Inventory,Barn Cleaner Y/N,Comments
01-May,,,,,
02-May,,,,,
03-May,,,,,
04-May,,,,,
05-May,,,,,
06-May,,,,,
07-May,,,,,
08-May,,,,,
09-May,,,,,
10-May,,,,,
11-May,,,,,
12-May,,,,,
13-May,,,,,
14-May,,,,,
15-May,,,,,
16-May,Comfy,17,17,Y,All good
17-May,Comfy,,16,N,All good
18-May,Comfy,,,N,All good
19-May,Comfy,,,Y,All good
20-May,Comfy,,,N,All good
21-May,Comfy,,,N,All good
22-May,Comfy,,28,N,All good
23-May,Comfy,28,56,Y,All good
24-May,Comfy,,,N,All good
25-May,Comfy,,,N,All good
26-May,Comfy,,,Y,All good
27-May,Comfy,,,,"All good                raised pens 1 & 2
                                    waters"
28-May,Comfortable,,,,All good
29-May,Comfortable,,,,"All good                39-1, watch
                                    for cough"
30-May,Comfy,,,Y,All good
31-May,Comfy,,,N,All good
01-Jun,Comfy,,,N,All good
