Date,HI,LO,Current Temperature AM,Current Temperature Noon,Current Temperature PM,Inventory,Inventory 2,Comments
01-May,,,,,68,,,Loaded
02-May,,,,,,,,
03-May,,,,,,,,
04-May,,,,,,,,
05-May,,,,,,,,
06-May,,,,,,,,
07-May,,,,,,,,
08-May,,,,,,,,
09-May,,,,,,,,
10-May,,,,,,,,
11-May,,,,,,,,
12-May,,,,,,,,
13-May,,,,,,,,
14-May,,,,,,,,
15-May,,,,,,,,
16-May,,,,,,,,
17-May,,,,,,,,
18-May,,,,,,,,
19-May,,,,,,,,
20-May,,,,,,,,
21-May,,,,,68,,,Loaded
22-May,,,68,68,68,,,
23-May,,,68,68,69,,,
24-May,,,67,68,,,,
25-May,,,64,66,71,,,
26-May,,,,,,,,
27-May,,,73,79,,,,
28-May,,,73,72,72,,,
29-May,,,72,,73,,,
30-May,,,73,75,,,,
31-May,,,73,72,75,,,
01-Jun,,,71,72,73,,,
,,,70,70,72,,,
,,,73,,,,,
