Date,Current Temperature,HI,LO,+/-,Inventory,Comments
01-May,71.9,79.8,78.1,KT,340,all good
02-May,79.4,79.8,76.2,-32,308,All good
03-May,78.2,80.2,77.3,,,All good
04-May,77.3,78.9,75.2,,,All good
05-May,78,78.6,76.4,,,All good
06-May,78.2,80.8,77,-1,307,All good
07-May,77.6,78.3,76.4,,,All good
08-May,77,78.5,74,-3,304,All good
09-May,76.7,77.3,73.8,,266,All good
10-May,75.5,77.2,74.6,,,All good
11-May,76.4,80.6,74.9,,,All good
12-May,75.6,77.4,74.5,-8,185,All good
13-May,76,79.5,74.9,,,All good
14-May,73.3,76.1,71.5,-8,50,All good
15-May,72.6,76,67.2,,,All good
16-May,72.7,81.2,71.9,,,All good
17-May,73.5,80.7,71.9,,,All good
18-May,71.9,74.5,71.4,,,All good
19-May,72.7,74.4,71.4,,22,All good
20-May,71.7,74,71,,,All good
21-May,71.5,74.1,70.9,,,All good
22-May,72.2,74.1,70.8,,,All good
23-May,72.4,73.8,70.7,,,All good
24-May,71.4,73.8,70.4,,,All good
25-May,72.2,73.4,70.2,,,All good
26-May,72.3,73.4,70.1,,,All good
27-May,72.1,73.3,70,-22,0,All good
28-May,,,,,,
29-May,,,,,,
30-May,,,,,,
31-May,,,,,,
01-Jun,,,,,,
