result_file,template_id,row_number,column_key,column_name,value_type,ocr_value,ground_truth_value,exact_match,normalized_match
Boar - barn - flash_boar_room_llm.csv,boar_room,1,date,Date,date_dd_mon,,01-May,False,False
Boar - barn - flash_boar_room_llm.csv,boar_room,1,current_temperature,Current Temperature,temperature,,67,False,False
Boar - barn - flash_boar_room_llm.csv,boar_room,1,hi,HI,temperature,83,69.5,False,False
Boar - barn - flash_boar_room_llm.csv,boar_room,1,lo,LO,temperature,,65.8,False,False
Boar - barn - flash_boar_room_llm.csv,boar_room,1,comments,Comments,english_text,68.3 69.5,All good,False,False
Boar room_p1_boar_room_llm.csv,boar_room,1,date,Date,date_dd_mon,,01-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,2,date,Date,date_dd_mon,,02-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,3,date,Date,date_dd_mon,,03-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,4,date,Date,date_dd_mon,,04-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,5,date,Date,date_dd_mon,,05-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,6,date,Date,date_dd_mon,,06-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,7,date,Date,date_dd_mon,,07-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,8,date,Date,date_dd_mon,,08-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,9,date,Date,date_dd_mon,,09-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,10,date,Date,date_dd_mon,,10-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,11,date,Date,date_dd_mon,,11-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,12,date,Date,date_dd_mon,,12-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,13,date,Date,date_dd_mon,,13-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,14,date,Date,date_dd_mon,,14-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,15,date,Date,date_dd_mon,,15-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,16,date,Date,date_dd_mon,,16-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,17,date,Date,date_dd_mon,,17-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,18,date,Date,date_dd_mon,,18-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,19,date,Date,date_dd_mon,,19-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,20,date,Date,date_dd_mon,,20-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,21,date,Date,date_dd_mon,,21-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,22,date,Date,date_dd_mon,,22-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,23,date,Date,date_dd_mon,,23-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,24,date,Date,date_dd_mon,,24-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,25,date,Date,date_dd_mon,,25-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,26,date,Date,date_dd_mon,,26-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,27,date,Date,date_dd_mon,,27-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,28,date,Date,date_dd_mon,,28-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,29,date,Date,date_dd_mon,,29-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,30,date,Date,date_dd_mon,,30-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,31,date,Date,date_dd_mon,,31-May,False,False
Boar room_p1_boar_room_llm.csv,boar_room,32,date,Date,date_dd_mon,,01-Jun,False,False
Boar room_p1_boar_room_llm.csv,boar_room,1,current_temperature,Current Temperature,temperature,,67,False,False
