Date,Daily HI,Daily LO,Current Temp AM / Noon / PM,Current Inventory +/-,Current Inventory,Comments
75,69,70,47.3 / 72.7,,,
24,69,76,170.21 72.4,,,
72,69,69,70.3 / 70.4,,,
,69,69,9 / 17.5 / 76.10,,,
79,69,,67 / 71 / 73,,,
73,90,71,74.1 / 79.1,1,,
60,109,70,71 / 74 / 72.6,,,
23-Nov,69,,51.0 / 91.7 / 73.7,,,
79,69,,,,,
,64,71,"10.9, 7.2",,,
,60,,,,,
,,,14 / 17.9,,,
10,73,,,,,
,,,,,,
,,,,,,
,,,/ /,,,
,,,,,,
,,,/ /,,,
,,,/ /,1,,
,,,/ /,,,
78,69,87,72.4,,,
29,,53,9 / 74.4 / 73.6,,,
,87,79,72.6 / 75.2,,,
,72,77,61 / 73 / 75.9,,,
,,72,8 / 74.8 / 76.1,,,
,,,/ /,,,
17,72,74,,,,
27,74,75,/ / 76.2,1,,
,75,75,075.5/75.5,,,
77,74,75,31 / 76.8 / 77.1,,,
16,,74,73 / 75.4 / 74.4,,,
15,73,72,4/ 1,,,
