Date,Current Temperature,HI,LO,Comments
01-May,67,69.5,65.8,All good
02-May,68.3,73.3,66.1,All good                Get Dreamboat up everyday
03-May,62.8,69.5,59.9,All good                heater turned off
04-May,66.7,69.2,63.1,All good
05-May,68.1,69.8,66,All good                dreamboat not getting up
06-May,66.9,74.1,66.2,All good                out of Boar Pac
07-May,66.9,69.2,66.1,All good
08-May,67.9,78.5,65.9,All good
09-May,68.3,69.5,65.1,All good
10-May,68.5,69.3,65.8,All good
11-May,67.8,78.4,66,All good
12-May,66.4,72,66,All good
13-May,69.5,80.6,66.4,All good
14-May,68.3,73.7,67.5,All good                Cull boar box is off
15-May,67.3,77.2,66.6,All good
16-May,69,83.8,67.3,All good
17-May,68.3,83.6,68.1,All good
18-May,66.5,69,66.2,All good
19-May,68.2,69,65.9,All good
20-May,67.5,69.2,65.7,All good
21-May,69.1,69.1,66,All good
22-May,68.7,69.2,66,All good
23-May,66.3,69.5,65.6,All good
24-May,68.8,69.2,65.7,All good
25-May,67.5,70.5,65.6,All good
26-May,67.9,74,66,All good
27-May,68.8,77.3,66.3,All good
28-May,64.2,73.3,63.8,All good
29-May,64.7,69.1,64,All good
30-May,66.5,71.6,63.8,All good
31-May,66.7,72.8,63.8,All good
01-Jun,64.8,69.8,63.4,All good
